306,TTN,3358
307,WYS,3249
308,RFD,3142
309,EWN,2549
310,ALO,2318
311,ROW,2049
312,SLE,1764
313,ILG,1564
314,PLN,1551
315,GCC,1492
316,HKY,1344
317,TEX,1310
318,YAP,1299
319,RKS,1194
320,ADK,1148
321,CMX,1059
322,ANI,895
323,KSM,882
324,MKG,788
325,RHI,782
326,SOP,636
327,INL,580
328,LNY,579
329,MKK,577
330,OTH,543
331,LMT,542
332,BJI,404
333,MTH,255
334,MAZ,239
335,MIB,178
336,RDR,92
337,OGD,25
338,CKB,14
338,CYS,14
340,PVU,13
341,PIR,8
341,FMN,8
343,GLH,4
344,MKC,3
344,BFF,3
346,LAR,2
346,BFI,2
348,RCA,1
348,LBF,1
348,SKA,1
348,CBM,1
